,name,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,No. of Tehsils,No. of Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Labour force,Number of Printing Presses,Number of Television Sets,Operational Bank Branches,Sale of fertilizers (tonnes),Number of Animals,Number of Cattle,Value produced by manufacturing industries,Average daily persons engaged in industry (No),Employment cost,Wages & Salaries,Multi Dimensional Poverty Index,Road Kilometrage,Railway Route Kilometrage,Motor Vehicles Registered,Number of Exchanges,Telephone Connections,Public Call offices,Number of Post Offices,Govt. Health Institutions,Bed Strength,Number of Doctors,Registered Private Medical Practitioners,Number of patients treated,Percentage of children fully immunized Urban,Immunized rural,Percentage of households with tap water Urban,Rural,Percentage of households with toilet facility,Number of primary schools,Number of middle schools,Number of high schools,Number of higher secondary schools,Learning Score Percentage,Edu Inst Availability of Electricity,Edu Inst Availability of Water,Edu Inst Availability of Toilet,Private Health Institutions,Province
69,Dadu,"Dadu has been along the route of caravans travelling along the Indus. Khudabad village of district Dadu had remained the capital of Kalhora dynasty till as late as 1768 A.D. The popular trade system was “Hundi” in the district. After Independence of Pakistan, the people belonging to Hindu community migrated to India and their properties were given to Muslims who had come from India.

District Dadu was established in 1933 by the British Indian administration by merging Kotri and Kohistan tehsils of Karachi district and Mehar, Khairpur Nathan Shah, Dadu, Joshi and Sehwan tehsils of Larkana distrcit. The talukas are Johi, Mehar, Khairpur Nathan Shah and Dadu.

The main crops are cotton, rape mustard and sunflower. The Rabi crops produced in the district are wheat, barley, gram, pulses and oil seeds. The Kharif crops are rice, cotton, sugarcane and maize.

The district is rich in natural resources. Precious stones and reservoirs of gas and petroleum have been explored in taluka Johi. The B.H.P. Company established itself in the district to explore gas and petroleum. Another Foreign company ENI has also setup their base station along the border of Taluka Johi and Sehwan for the same purpose. Small and Medium Enterprise development Authority (SMEDA) has reported 44 small industries (rice husking mills) in two talukas: Mehar and K.N Shah. These mills provide employment to 1,340 people of this area. Other than that, Dadu Sugar Mill is a large scale industry in this district.

Sukkur barrage and Kotri Barrage irrigate the district. There are two main canals in the district Rice canal and Dadu canal. Besides, land is also irrigated by tube wells and spill over of river Indus.

The district is rich in livestock and cattle, bualo, goat and sheep. Livestock is one of the major sub-sectors of Agriculture and backbone of Pakistan’s economy. Its main by-products, including hides and skins, have substantial potential as semi-finished products. A substantial growth in Livestock products such as milk, meat, beefs, mutton, poultry and eggs have been noticed, since many years.",7866,7535.51,286810,4,66,16051521,2041,106,383169,1167097,797857,752385,24,,,"81,438",,"29,435",,"469,000",90019640,35255,3640229,3074679,0.247,1044,,7358,,,,,4,263,227,,,100,94,49,8,92,1795,56,84,,38.41,48.54,52.89,62.66,,Sindh
70,Ghotki,"Ghotki District is a district of Sindh Province, Pakistan. Mirpur Mathelo is the Head Quarter of Ghotki District. The town is located at 28°1'0N 69°19'0E with an altitude of 72 meters (239 ft). Pano Aqil army cantonment is also near Ghotki city but in Sukkur District. Ghotki district is spread over an area of 6975 square kms. The length is 50 miles from east to west and breadth is about 60 miles. Ghotki city is situated near National Highway alongwith railway line which crosses from the center of the city. Ghotki has four seasons i.e. Winter, Spring, Summer and Autumn around the year. Ghotki has very fertile land and main crops it produces are Cotton, Wheat, Sugar cane and Rice. Ghotki is sort of industrial area in Interior Sindh since it hosts Oil and Gas Development Corporation (OGDC), Engro Chemicals and Fauji Fertilizers. Popular places of Ghotki main city are Sessions Court, Circuit House, Shahi Bazzar, Ladies Market, Jamia mosque, Government Park, Rehmoowali Park.

Detail of industries and factories established in Ghotki district is given below; 1. Sugar Mills (02) 2. Rice Mills (28) 3. Flour Mills (15) 4 Ice Factories (10) 6. Oils Mills (20). 7. Stablizer and UPS making (02). 8. Handicrafts. 9. Candle Making. 10. Spice Factories. 11. Fertilizers (02).

Ghotki district is main trading center of whole district it has a famous galla mandi which is the main source of agriculture trade in the city and taluka Daharki and Khangarh of district is also important trading center for cotton wheat rice and sugar cane. The main items of trade like cotton, wheat, rice and onion are supplied to other parts of the country.",6083,"102,745.06",296670,5,64,1646318,271,106.55,403538,1242780,849226,797051,41,,,"56,558",,17986,,"282,000",24769686,2120,473557,338786,0.356,683,,2485,,,,,4,170,155,,,100,100,10,5,97,1828,96,32,,45.48,45.65,67.6,61.17,,Sindh
71,Hyderabad,"Hyderabad is a city, district and division in the Sindh province. The city is an administrative headquarters lying on the most northern hill of the Ganjo Takkar ridge just east of the River Indus. Being the third largest city of Pakistan, Hyderabad is a communication center, connected by rail with Peshawar and Karachi. 

Founded in 1768 on the site of the ancient town of Nirun-Kot by Ghulam Shah Kalhora, the saintly ruler of Sindh, it was named after the prophet Mohammed's (PBUH) son-in-law, Ali, also known as Haider. It remained the capital of Sindh under the Talpur rulers who succeeded the Kalhoras till 1843 when, after the nearby battles of Miani and Dabo, it surrendered to the British, the capital was then transferred to Karachi.

Incorporated as a municipality in 1853, it is an important commercial and industrial center. Its economic activities include textile, sugar, cement, and hosiery mills, manufacturing of glass, soap, ice, paper, and plastics. There are hide tanneries and sawmills. Ornamented silks, silverwork, gold-work and lacquer ware are also some of its exclusive products. 

Noteworthy antiquities include the tombs of the Kalhora and Talpur ruler, palaces of the former amirs of Sindh. Newly developed settlements and industrial estates surround the congested old city area. A noteworthy characteristic of this city is badgirs (wind-catchers) fixed to housetops to catch sea breezes during the hot summer season. A hospital, municipal gardens, zoo, sports stadium, and several literary societies are in the city. The University of Sindh with 32 affiliated colleges was founded in 1947 in Karachi and moved to Hyderabad in 1951, where it lies across the Indus. Other education needs are served by numerous government colleges, the Liaquat Medical College and specialized vocational institutions.

SITE Area Kotri is spread over 1875 Acres of land. A beautiful SITE for Industrial units at Kotri. It has an excellent breeze in summers and is located on National Highway. At Present it is the Second biggest Industrial Area of Province of Sindh.

Major Sectors and Clusters in Kotri include Textile Mills (Spinning, Cotton Ginning, Cotton Wool), Flour Mills, Oil Mills, Soap Factories and Paper Mills etc.

SSIC Industrial Area is situated on the outskirts of Hyderabad on Tando Muhammad Khan Road and is spread over 50 Acres of land (An extension of 50 Acres has been applied for recently). SSIC Industrial Area houses major Small and Medium Enterprises of Hyderabad.

Major Sectors and Clusters include Glass Bangles Industries, Oil Mills, Flour and Daal Mills, Plastic Works, Light Engineering (6 Motorcycles Assemblers, Foundry and Steel Re-Rolling Mills etc),

SITE Area Hyderabad is situated on the outskirts of Hyderabad on Tando Muhammad Khan Road and is spread over 1,264 Acres of land approx. SITE Area is the biggest Industrial and Trading zone of Hyderabad. Major Industries and Trading Houses are functioning at SITE Hyderabad.

Major Sectors and Clusters include Textile (Spinning, Yarn) Mills, Glass Bangles Industries, Oil Mills, Flour Mills, Daal Mills, Pharmaceuticals, Heavy and Light Engineering.

SITE Area Hyderabad is situated on the outskirts of Hyderabad on Super Highway on the way to Karachi and is spread over 50.1 Acres of land. Being situated on the Super Highway, it has an advantage of transportation especially to Karachi.

Major Sectors and Clusters include Food, Garments, Handicrafts.

Hyderabad houses various small and medium scale manufacturing clusters. These clusters belong to different sectors of the economy and are playing their role efficiently with the large scale manufacturing industries at Hyderabad. They are present within the city and are housed in small plots. These small and medium scale manufacturing clusters employ thousands of people and needs to be extended and diversified in some other sectors as well.",5519,6809.16,434869,4,20,2199463,399,108.76,1832755,366708,1145788,1053510,165,,,"118,628",,"40,972",,"76,000",75749733,24190,5140113,4467085,0.129,404,,,,,,,2,1812,972,,,100,100,72,11,95,722,72,82,,41.18,68.87,64.79,82.11,,Sindh
72,Jacobabad,"The location of Jacobabad proper can be explained as 44 K.M North West of Sukkur. It is situated between 68.26 longitude and 28.17' latitude. This District was sometime also called (U.S.F) Upper Sindh Frontier District. In addition to it common folks also call it only (the northern) and some other time as (Siro) or the upper part. 
This District enjoys its integrity because of its situation, which adjoins it with three provinces, simultaneously. That is, it borders with Rajanpur District of the Punjab Province along its eastern side. It also borders with the Nasirabad district of the Balochistan Province on its North Western sides. All the same it join its Southern and South eastern borders simultaneously with four Districts of its parent province of Sindh. These adjoining Districts are District Larkana in its South. District Shikarpur in south east. District Sukkur in its east and District Ghotki in its east south. 
River Indus flows through Kashmore and Kandhkote Tehsils of District Jacobabad. Having a Dam. Called the Guddu Barrage in Kashmore Tehsil. The Pat feeder canal and all old channels take their source from the Guddu Barrage. 
There is no heavy Industrial unit in this District. Being and agricultural district, rich in paddy and wheat crops, there are only agricultural oriented Industry units in this District. Which in all count a number 225, this includes both the rice husking as well as flour mills. In addition to these recently three Ghee plants have also been installed, associated with a Soap factory, which produces raw Soap only good for cloth washing. 
In the fielded of Small Industries this District is leading the whole country in Jandree production. Fine coated and glazed furniture and other house-hold items can be prized as highlight of this district. Though this art was introduced and taught in vocational school of Jacobabad city. Yet it flourished in Kashmore Tehsil, Were small Industries department of Sindh Government has established a display and sales centre for the patronization of the Industry. Few other private centers are also functioning at Kashmore. 
Apart form this presentable Industry this district also claims regards in embroidery which is working as a home Industry and produce mirror work embroidery items such as Caps, Laces, Ghghra, Gaj, Waist coats and other embroidered garments which are exported from here to other parts of the country. 
Jacobabad District finds a very important place in the surrounding locality which for all sort of their supplies, depend entirely upon the Markets of Jacobabad District. The grain Markets and also cattle Markets are open every day except Fridays at all the Taluka Headquarter places of District. Apart from these markets there are also fruit Market and vegetable markets. To operate the trade of these markets a large community of Gumanshtas and commission agents is putting up in Jacobabad. These people are in direct communication with all the important markets of the country. The consumer goods are supplied from here on demand, ordered to and from any other market of the country. 
Smiths, workshops, hard-ware commodities and every other house-hold items are available on stores of the cities in the District. The Bazaars at every Taluka Headquarter place are rich and busy every day. Thousands of people come to buy or sale at the markets or the commercial centers ver4y day. People from all other provinces of the country also come here for purchasing the goods and cattle. The cows and buffaloes of this area are specially known for large quantities of milk. The Horses of this district are known for large fine breed so the horse trading is an important trade of the district.",2686,,177867,3,44,1006297,375,110.9,297127,709170,515480,490778,39,,,"22,055",,"54,226",,"507,000",2510388,3412,91877,89987,0.391,565,,34,,,,,2,216,137,,,100,100,4,1,91,1328,69,46,,33.26,46.72,51.91,46.41,,Sindh
73,Jamshoro,"Jamshoro district was split from Dadu district in December 2004. It is situated on the west bank of River Indus. The district borders with Dadu district in north, Thatta district in south and Karachi in south west. The district comprises four talukas namely Kotri, Manjhand, Thana Bula Khan and Sehwan.

District Jamshoro is slightly hotter than surrounding areas in summer and has cool winters. The district is rich in minerals like limestone, gravels and marbles. The Kharif crops produced in the district are rice, cotton, sugarcane, bajra and maize. The Rabi crops are wheat, Barley, gram, pulses and oil seeds.

Two out of four talukas have industrial estates in this district. The industrial state in TalukaKotri consists of 160 factories. This industrial estate employs a large number of people from all over the country. TalukaThanoBula Khan has an industrial state in Nooriabad along superhighway, which consists of 72 industrial units but where only 42 units are functional and providing employment to its inhabitants and outsiders. Mining is also a source of income for the inhabitants of this taluka.

Katcha area alongside the Indus River is the main agriculture production area where vegetables are grown abundantly. Some of the areas in Sehwantaluka are irrigated by Dadu canal.","11,517","11,445.34",180922,4,29,993142,86,111.37,434187,558955,523259,469839,44,,,"12,844",,295,,164000,0,0,0,0,0.297,586,,211,,,,,5,374,220,,,100,88,70,38,84,707,29,47,,42.96,61.69,60.55,75,,Sindh
74,Kamber Shahdadkot,"District Kamber Shahdadkot is situated in the northwest of Sindh province. The district borders with Khuzdar, Jaerabad and Jhal Magsi districts of the Baluchistan province in the west, Dadu in the South, Larkana in the east and Jacobabad in the north. Mohenjodaro is only 47 Kilometers away from the district.

Major Crops of district are rice, wheat, jowar, bajra and gram. Seasonal vegetables are cultivated in every taluka. Some Vegetables are also grown in some of the farmlands during cold season. Other important agricultural products are sugarcane, pulses, maize, oil Seeds, mutton and poultry.

The small industries of the district include the following: electronic goods, agricultural tools, construction material and food processing through bakeries and shops, iron and steel, tractor trolleys, bullock and donkey carts. There is no large scale industries present in the district.

Sukkur Barrage is the main source of irrigation in this district. The names of main canals and branches are Ghar Wah, Noor Wah, Shahdadkot branch, Tanwary, Patooja, Kot Shahbeg, Qubo, Saifullah Magsi Branch, Edan ,Begari, Dhori, Rabbi,Koor Dato, Koor Shah. Though agriculture is mainly dependent upon canal irrigation in this district, tube wells and river irrigation are also used here.

Livestock has been a major source of income for the people of Kamber Shahdadkot. The district has vast potential for establishing livestock farming. It not only provides rich food such as meat, milk, eggs, poultry meat, but also produces essential raw material such as manure, oal, trotters, hides and skins, wool and blood for various kind of industries",5882,,223154,7,52,1341042,228,103.75,397564,943478,682859,658148,35,,,"15,096",,"13,052",,"230,000",0,0,0,0,0.383,722,,174,,,,,4,146,106,,,100,99,26,4,99,1515,60,56,,42.06,59.48,55.64,69.54,,Sindh
75,Karachi,"The city of Karachi is well-known to the world as the commercial and financial capital of Pakistan. The Karachi generates about 25% of the national GDP. It also has its share of 65% in generating the national revenue that includes federal and provincial taxes, customs and surcharges. In 2007, Karachi was identified as the most business-friendly city in Pakistan by World Bank.

The city has a very large and diverse economy. It is home for some of the largest and most dynamic industrial complexes in the country such as Sindh Industrial & Trading Estate (SITE), Korangi Industrial & Trade Estate, FB Area, North Karachi Industrial & Trade Estate, Dhabeji and Port Qasim etc. SITE Manghopir is the largest industrial park of the country comprising about 4000 factories. The areas like I.I. Chundrigar Road, Sharah-e-Faisal, Clifton and Defense are the main business hub of Karachi.

As the city offers an ideal location for the business, the industries produce a wide variety of goods, from textiles to chemicals, steel and machinery. The versatile industries of the city also produce cement, corn mills, shipbuilding, refined oil, shoes and food. Some major automobile manufacturing companies such as Toyota, Suzuki, Millat Tractors, Adam motors, HinoPak have their manufacturing plants in the city. The city is also home for plenty of cottage industries.

Most of Pakistan's public and private banks, insurance companies have their head offices in Karachi. Many of Pakistan’s independent television and radio channels such as Geo, ARY, Hum and AAJ TV, KTN, Sindh TV are headquartered in Karachi. The city also offers the scope for expansion of tertiary sector and retail trade. The largest stock exchange of Pakistan is situated in Karachi. Jinnah International Airport situated in Karachi is the largest international airport in Pakistan.

The Karachi is a major sea transport centre and contains the country’s two major ports namely the port of Karachi and Port Mohammad Bin Qasim. The city is an important hub for fishery business in Pakistan. The major fish harbour in Karachi includes Karachi Fish Harbour and Korangi Fish Harbour. In Karachi, about 300,000 people are connected with the fishery business and some subsidiary industries provide employment to about 400,000 people.

Although IT industries, electronic media and call centers are playing a significant role in the current economy, the huge industrial base of the city provides the maximum strength to the economy of Pakistan.",3527,38919.4,2770074,31,178,16051521,4246,110.9,14910352,1141169,8439659,7610365,1497,,,1851938,,"87,522",,271000,"906,699,870",198875,"41,222,293","35,089,280",0.019,293,,406656,,,,,4,76,2053,,,100,100,85,54,100,2017,379,521,,0,0,0,0,,Sindh
76,Kashmore,"The district Kashmore was created on 13-12-2004 by bifurcating district Jacobabad into two parts. Earlier Jacobabad had five talukas, and after bifurcation, three Talukas namely Thull, Garhi Khero and Jacobabad were included in district Jacobabad whereas Kandhkot and Kashmore were included in the district Kashmore. After some time Tangwani was given the status of taluka and the number of talukas of district Kashmore increased from two to three.

The Headquarter of district Kashmore is situated in Kandhkot. Kashmore district is situated in northern part of Sindh, bordering Ghotki district, Jacobabad district, Shikarpur district and Sukkur district within Sindh. It also borders Balouchistan on the northern side and Punjab on the eastern side. Kashmore is located at the tri-junction, connecting three Provinces, and is a gateway to the Punjab and Balochistan provinces. Because of its distinguished geographical location and cross-road connecting borders with three provinces, Kashmore has a unique identity. The Indus River runs through the Eastern side of Kashmore district. The southeastern side of Kashmore district has forest of Katcha that supports wild animals. The Thar Desert is on the Eastern side of the district, and is home to wild desert animals. On the east side, this district shares its boundary with district Rajanpur of Punjab; on the west side, it touches district Jacobabad and Shikarpur; on north side, district Dera Bugti of Balochistan; on the south, district Ghotki and Sukkur of Sindh touch this district.

Majority of the people belong to the farming class and as such depend upon agriculture for their source of income. Their income increases and decreases depending upon the quality of crop and sufficient availability of water for rice Crop, which is considered the cash crop of the district. A grain market has been established in Kandhkot, headquarter of district Kashmore, for the trading of rice and wheat. The grain market of Kandhkot is said to be the second largest grain market in Asia.

Major crops of the district are wheat and rice. Other crops, such as maize, cotton and sugarcane are also cultivated in the district but at a very minute level.

There are several industrial units working in the district Kashmore such as rice mills, flour mills, the Guddu Thermal and Kandhkot gas field. The district Kashmore is the third district in Sindh which has its own gas field and a thermal power station. A large number of local as well as labour belonging to other provinces has been working at the gas field and Guddu Thermal Power Station. The Guddu Thermal Power Station is the second largest power generation Unit in Pakistan. The electricity generated from Guddu thermal power station is supplied to Hyderabad and Karcahi along with other cities of Sindh province

The business class is associated with the trading business of rice and wheat, cloth, general store, medical stores, and Industrial units such as rice mills and flour mills. They are also the key player in the district as they provide employment to a large number of the working class.",2592,"11,707.64",185143,3,41,1089169,420,107.73,253613,835556,564843,524307,19,,,"15,123",,54920,,"191,000",0,0,0,0,0.431,417,,231,,,,,2,50,130,,,100,100,7,0,94,1393,54,50,,56.23,25.71,57.04,41.53,,Sindh
77,Khairpur,"Khairpur district is located in northern Sindh, consists of 8-talukas, Fai Ganj, Gambat, Khairpur, Kingri, Koti Diji, Mirwah, Nara and Sobho Dero.

The majority of the population i.e. 96.86% belongs to Muslim religion, Hindus share 2.82%. The common spoken language in sindhi (93.85%), other languages i.e Punjabi 3.16% and Urdu 1.37%, a minimum number of people speak Pushto and Balochi while the Siraiki is widely understood.

80% of people involved in agriculture directly or indirectly, cultivation depends upon river Indus by several canals, and a good part of land is rain fed.

The main crops is Rabi are wheat and gram, during Kharif cotton; oil seeds and sugarcance are cultivated. The main fruits produce dates, banana, mangoes, guavas, falsa, orange, and lemon. The orchards are mainly located in Khairpur, Garmbat and Kotdiji talukas.

The district identifies the “the city of date palms”, a research institute has been established in Shah Abdul Latif University Khairpur for the purpose to conduct research on different aspects of date palms. According to date of 2005-06 received from the Date palm research institute Khairpur, the area consists of 22310 hectares and produced 158775 tones production. A large number of no mats come for laboring on date palms throughout sindh every year; they establish tents beside the national highway, link roads, and banks of different canals. The district also contributes highly in exports both Fresh & Dry Dates to the countries like USA, UK, India, Canada, Germany etc. ",15910,"61,382.26",412857,8,86,2404334,151,106.58,775850,1628484,1240424,1163806,104,,,"73,546",,"18,663",,"493,000",3669693,789,78199,75981,0.261,2769,,8725,,,,,3,284,477,,,100,100,12,0,96,3132,189,139,,31.86,62.85,82.67,69.49,,Sindh
78,Larkana,"The historical name of Larkana was Chandkai . Larkana was given the status of district during the British rule and is also called Larkano in Sindhi . Larkana exerted its political, cultural and economic importance during the period (1701-1783 CE) of iii Kalhoras. This city possibly did not exist before this period or if existed was a small village of no importancev . Larkana has the privilege of being the seat of one of the oldest civilization of the world, the Indus Valley Civilization. Moen Jo Daro, Mount of Dead is designated as UNESCO world heritage sites, are located 32 km away from the city center on the west bank of Indus River

Larkana is the 17th largest city in Pakistan. It is located 40 miles south of the district Shikarpur and 36 miles northeast of district Dadu.The Talukas are Larkana, Rato Dero, Dokri and Bakrani

Agriculture is the main source of employment for the rural population of the district. In urban areas people are engaged in various economic activities like trade, services, personal business, and government and private jobsix. Larkana falls in Rice Other Sindh Agro Climatic Zonex which is good for rice production with sugarcane where irrigation allows. The Kharif crops produced in the district are rice, cotton, sugarcane, bajra and jawar. The Rabi crops are wheat, Barley, gram, pulses and fodderxi . Larkana is known for its quality production of guava and berry

Industrial estate in Larkana was established in 1964-65 with an aim to promote small industries within the city. It is spread over 59 acres and the total plots are 313 with the size of plots being 1 to 2 canalsxiii. The existing manufacturing units in Larkana include sugar, flour and rice mills, chilies and spices processing units, ice factories, oil mills, plastic pipes, steel pots, clay pots, furniture and gold ornaments

The old method of irrigation was to use the river channels. Now the area is irrigated by network of canals. Rice canal, Dadu canal, Warah canal, Khirthar canal and Saifullah Magsi Canal irrigate 870,127 acres of landxxix .Rice and Dadu canals are 76 km and 80 km long. The Katcha area of Larkana, Rato Dero and Dokri talukas are cultivated during Rabi season, and this is termed as Sialabi cultivation.

Livestock contributes 51% to the value addition in agriculture sector of Pakistan and also contributes 9% to the GDP of Pakistan. The most kept livestock in Larkana are cattle, buffaloes, sheep, goats, camels, horses, mules, donkeys and poultry",7423,"65,563.46",261331,4,47,1524391,205,104.31,701637,822754,778249,746093,49,,,"59,780",,"86,730",,"216,000",382244,1953,24409,24309,0.194,1109,,48435,,,,,4,1410,295,,,100,100,1,1,99,1028,65,73,,34.81,67.38,81.29,77.96,,Sindh
79,Matiari,"Historically, this region was ruled by different dynasties, including the Soomras (1024-1351), the Summas (1335-1520), the Arghuns (1520-1650), the Kalhoras (1657-1783) and the Talpurs (1783-1843). When Britain invaded the subcontinent, General Charles Napier, a commander in the British Army, defeated the Talpur dynasty and conquered Sindh in 1843.At the time of the independence of Pakistan, in 1947, district Matiari was a taluka of district Hyderabad until 2005 when it was given the status of a district. 

District Matiari established in 2005 and is the city of the sayeds. Matiari is near to Hyderabad (25 km); so many residents often visit Hyderabad for job and shopping purposes.

Matiari contributes significantly in the agriculture sector of Sindh because its climate is suitable for production of various crops, including the Kharif crops of maize, rice, sugarcane, cotton and bajra and Rabi crops of wheat and barley. In addition to these, fruit orchards are abundant in this district. This district is famous, all over Pakistan, for its Bananas and mangoes

Most of the industries in Matiari are pertaining to the agriculture. Famous among these are the sugar and flour mills since wheat and sugarcane is cultivated on large scale in this district. Cottage industries are also prevalent in the district as khaddar and Ajrak cloth of this district are famous. Besides, handmade potteries of Hala town are well-known. The government has established a Small Industrial Estate (SME) on the Hala-Shahdadpur road.

The most kept livestock in district Matiari are cattle, buffaloes, sheep, goat, camels, horses, asses and domestic poultries.",1417,"28,531.71",143023,3,30,769349,543,106.52,182590,586759,396799,372518,32,,,"20,407",,6288,,"267,000",0,0,0,0,0.324,334,,17,,,,,3,126,190,,,100,100,15,2,23,813,20,41,,59.23,75.36,75.36,73.92,,Sindh
80,Mirpurkhas,"District Mirpur Khas lies in 68° 59’ 3” to 69° 16’ 53” east longitudes and 24° 48’ 33” to 25° 48’ 7” north latitudes. This district is bounded by district Umerkot on the east, district Sanghar on the north, district Tando Allahyar on the west, district Badin on the south-west and district Tharparkar & Badin on the south. The climate of the district is extreme, both in winters and summers. The summer heats are considerably neutralized by constant sea breeze from the south-west. The land structure of this district comprises of plane fertile lands suitable for agriculture. Due to a well-organized canal system, the whole district has water availability, resulting in the grasslands and irrigated crop lands.

District Mirpur Khas is pre-dominantly rural and the sources of livelihood are less diversified for the resident population. Taluka Mirpur Khas, due to its urban nature and industrial units, has a relatively better economic environment. The rest of the five talukas are rural and dependent on agriculture for livelihood opportunities.

Mirpur Khas contributes significantly in agriculture sector of Sindh because its climate is suitable for production of various food items including the Kharif crops of maize, rice, sugarcane, cotton and bajra and Rabi crops of wheat, barley, Gram and barseen. In addition to these, fruit orchards are abundant in this district. This district is famous, all over Pakistan, for its mangoes.

Industries in Mirpur Khas are mainly associated with agriculture. The famous among these are the sugar mills since sugarcane is cultivated on large scale in this district. Most of these industries are situated in Mirpur Khas taluka. These include sugar mills, cotton factories and flour mills.",2925,12.95,286547,7,46,1505876,515,106.94,425752,1080124,778172,727650,54,,,"66,382",,"83,486",,"202,000",9615761,2436,196459,178742,0.401,914,,11662,,,,,3,346,211,,,100,99,79,5,87,1973,111,90,,48.48,36.73,43.47,62.5,,Sindh
81,Naushero Feroze,"District Naushahro Feroze lies in 67° 48” 2’ to 68° 26” 51’ east longitudes and 26° 32” 45’ to 27° 13” 36’ north latitudes. This district is bounded by district Khairpur on the east, district Larkana on the north, district Dadu on the west, and district Jamshoro and Shaheed Benazirabad on the south. Indus Rivers flows alongside the western boundary of the district.

The land structure of this district comprises of plain fertile lands suitable for agriculture. Due to a well-organized canal system and proximity of Indus River, the whole district has irrigation facility resulting in the grasslands and irrigated crop lands.

Naushahro Feroze contributes significantly in agriculture sector of Sindh because its climate is suitable for production of various food items including the Kharif crops of maize, rice, sugarcane, cotton and the Rabi crop of wheat. In addition to these, fruit orchards are abundant in this district.

Industries in Naushahro Feroze are mainly associated with agriculture. The famous among these are the sugar mills since sugarcane is cultivated on large scale in this district.",2945,9962.45,275693,5,64,1612373,547,106.77,379802,1232571,832569,779747,57,,,"68,805",,"96,825",,"335,000",5194526,914,109097,108520,0.214,702,,6479,,,,,3,157,367,,,100,98,0,11,94,2105,157,72,,62.92,66.7,87.64,65.95,,Sindh
82,Sanghar,"District Sanghar lies in 68° 28” 18’to 70° 12” 49’ east longitudes and 25° 29” 42’ to 26° 28” 1’ north latitudes. This district is bounded by Indian state of Rajhistan on the east, district Khairpur and Shaheed Benazirabad on the north, district Matiari and Tando Allahyar on the west, and district Umerkot and Mirpur Khas on the south. Indus River flows on the western side of this district, in the vicinity of district Matiari. The district comprises of two distinct types of soils. On the western side of the district, most of the area is fertile plain irrigated by a well-established canal system. This comprises of Shahdpur, Tando Adam, Sinjhoro, Jam Nawaz Ali and some area of Khipro taluka. The eastern side of the district comprises of the desert area in Khipro taluka. This desert is commonly known as Acchro Thar. The soil of the district, as a whole, is sandy with hard clay loams and some parts are desert. The average elevation of the area is about 50 meters above sea level.

agriculture is the main source of employment for the rural population, in the urban areas of the district people are engaged in various other economic activities like trade, services, personal business, and government and private jobs. Sanghar and Tando Jam are main trading centers of this district. Taluka Khipro, Jam Nawaz Ali, Sinjhoro and Sanghar are more dependent on agricultural activity as compared to Tando Adam and Shahdadpur. Though Tando Jam and Shahdadpur are also agro-based, here small industries also provide source of livelihood to the resident population.

Apart from well spread desert Achhro Thar in Khipro taluka, the remaining portion of district Sanghar is booming with agricultural activity and small industries. Sanghar contributes significantly in agriculture sector of Sindh because its climate is suitable for production of various crops including the Kharif crops of cotton, rice, jowar and sugarcane and the Rabi crops of wheat, gram and oil seeds. In addition to these, fruit orchards are abundant in this district. Taluka Shahdadpur and Tando Adam are famous for the production of a variety of fruits including banana, mango and dates. The fish of Jumrao canal is also another source of livelihood for the people of Sanghar district.

District Sanghar has agriculture related industries ranging from sugar mill, textile looms, to ginning factories. Sanghar Sugar Mill, textile looms in Tando Adam, cotton ginning factories in towns are the source of employments for residents of district Sanghar.","10,608",16,374609,6,63,2057057,194,107.25,588405,1468652,1064484,992509,64,,,"92,644",,1380,,"370,000",17736556,2815,450772,211443,0.386,1320,,10594,,,,,4,298,399,,,94,100,13,3,90,2935,109,80,,25.26,25.2,54.92,58.68,,Sindh
83,Shaheed Benazir Abad,"The district lies in 67° 52” to 68° 27” 2’ east longitudes to 25° 59” to 26° 38” 5’ north latitudes. The district is bounded by district Khairpur and Saanghar on the east, district Jamshoro on the west, district Khairpur and Naushehro Feroze on the north and district Matiari on the south. This district is located in the center of the Sindh province of Pakistan, and is therefore commonly known as the heart of Sindh. Indus River flows on the left bank of the district. The land structure of this district can be divided into three parts. First, on the northern side of the district is the kacha (the lands alongside the Indus River), these lands are very fertile but are prone to riverine floods. Second, the central and major part of the district comprises of the irrigated cultivable lands. This area consists of very productive agricultural land. Third, the eastern part of the district that comprises of the barren desert lands in Daur taluka.

The sources of employment are less diversified in this district. The sources of employment in the urban areas include: small business, services, agriculture extension services, private jobs, government jobs and overseas employment but in the rural parts of this district, agriculture sector remains dominant among all the sectors.

Shaheed Benazirabad contributes significantly in agriculture sector of Sindh because its climate is suitable for production of various food items including the Kharif crops of maize, rice, sugarcane, cotton and bajra and Rabi crops of wheat, barley, Gram and barseen. In addition to these, fruit orchards are abundant in this district.

Shaheed Benazirabad has industries pertaining to the agriculture sector. Famous among these are the sugar mills in this district as sugarcane is cultivated on large scale in this district.",4502,"61,632.52",297133,4,58,1612847,358,107.07,489337,1123510,833935,778883,29,,,"82,743",,"108,464",,"339,000",12211262,1505,262740,261201,0.314,1588,,119881,,,,,2,895,288,,,100,99,26,1,96,2309,126,97,,19.64,55.81,69.63,58.58,,Sindh
